date,store_id,ndc,quantity_dispensed,days_supply,payer_type,rx_fill_count
2025-08-01,ST001,62110-787-10,3,90,medicare_part_d,1
2025-08-02,ST001,62110-787-10,3,90,commercial,1
2025-08-04,ST001,62110-787-10,4,60,medicare_part_d,1
2025-08-05,ST001,62110-787-10,5,60,commercial,1
2025-08-06,ST001,62110-787-10,5,60,commercial,1
2025-08-07,ST001,62110-787-10,3,30,commercial,1
2025-08-08,ST001,62110-787-10,9,30,commercial,1
2025-08-09,ST001,62110-787-10,2,60,cash,1
2025-08-10,ST001,62110-787-10,1,60,commercial,1
2025-08-11,ST001,62110-787-10,3,60,commercial,1
2025-08-12,ST001,62110-787-10,4,30,commercial,1
2025-08-13,ST001,62110-787-10,3,60,medicaid,1
2025-08-14,ST001,62110-787-10,6,90,commercial,2
2025-08-15,ST001,62110-787-10,9,30,medicare_part_d,2
2025-08-16,ST001,62110-787-10,3,90,medicare_part_d,1
2025-08-18,ST001,62110-787-10,3,60,commercial,1
2025-08-19,ST001,62110-787-10,4,30,medicaid,1
2025-08-20,ST001,62110-787-10,2,90,medicaid,1
2025-08-21,ST001,62110-787-10,4,30,commercial,1
2025-08-22,ST001,62110-787-10,4,90,medicare_part_d,1
2025-08-23,ST001,62110-787-10,3,30,cash,1
2025-08-24,ST001,62110-787-10,1,60,medicare_part_d,1
2025-08-25,ST001,62110-787-10,2,60,cash,1
2025-08-26,ST001,62110-787-10,3,30,medicaid,1
2025-08-27,ST001,62110-787-10,6,90,commercial,1
2025-08-28,ST001,62110-787-10,2,60,commercial,1
2025-08-29,ST001,62110-787-10,3,60,medicare_part_d,1
2025-08-30,ST001,62110-787-10,3,30,commercial,1
2025-09-01,ST001,62110-787-10,6,30,medicare_part_d,2
2025-09-02,ST001,62110-787-10,4,90,medicare_part_d,1
2025-09-03,ST001,62110-787-10,8,60,commercial,1
2025-09-04,ST001,62110-787-10,3,30,commercial,1
2025-09-05,ST001,62110-787-10,3,90,commercial,1
2025-09-06,ST001,62110-787-10,5,30,commercial,2
