contract_id,ndc,distributor_id,contract_type,contract_price_per_pack,effective_date,expiration_date,gpo_name
CTR00002,62110-787-10,ABC,Prime Vendor,9.27,2024-01-01,2025-12-31,
CTR00021,37559-713-63,MCK,Direct,3.68,2024-01-01,2025-12-31,
CTR00022,37559-713-63,CAH,Direct,3.52,2024-01-01,2025-12-31,
CTR00023,59428-765-88,MCK,GPO,1.88,2024-01-01,2025-12-31,Vizient
CTR00025,83963-779-88,MCK,GPO,4.39,2024-01-01,2025-12-31,Premier
CTR00026,25443-741-74,MCK,GPO,2.16,2024-01-01,2025-12-31,HealthTrust
CTR00031,35129-243-96,CAH,Direct,16.92,2024-01-01,2025-12-31,
CTR00032,77547-855-65,CAH,GPO,2.73,2024-01-01,2025-12-31,HealthTrust
CTR00035,96981-253-27,MCK,Direct,8.19,2024-01-01,2025-12-31,
CTR00036,96981-253-27,CAH,GPO,7.65,2024-01-01,2025-12-31,Premier
CTR00046,28307-336-11,MCK,GPO,19464.3,2024-01-01,2025-12-31,Vizient
CTR00050,59899-705-80,CAH,340B,6237,2024-01-01,2025-12-31,
CTR00051,59899-705-80,MCK,340B,5481,2024-01-01,2025-12-31,
CTR00052,72186-828-29,CAH,GPO,14616,2024-01-01,2025-12-31,HealthTrust
CTR00055,16711-556-42,CAH,340B,3024,2024-01-01,2025-12-31,
CTR00061,57137-519-83,ABC,GPO,8.42,2024-01-01,2025-12-31,HealthTrust
CTR00065,37375-352-44,MCK,340B,0.83,2024-01-01,2025-12-31,
CTR00066,37375-352-44,CAH,340B,1.16,2024-01-01,2025-12-31,
CTR00067,25095-188-55,CAH,Prime Vendor,8.64,2024-01-01,2025-12-31,
CTR00072,59315-796-34,MCK,340B,1.61,2024-01-01,2025-12-31,
CTR00074,90471-917-54,ABC,GPO,17.23,2024-01-01,2025-12-31,Vizient
CTR00075,90471-917-54,CAH,340B,7.33,2024-01-01,2025-12-31,
CTR00077,69484-331-81,MCK,Prime Vendor,13.97,2024-01-01,2025-12-31,
CTR00078,23998-570-66,CAH,GPO,3.18,2024-01-01,2025-12-31,Premier
CTR00083,50582-567-88,CAH,Direct,7.59,2024-01-01,2025-12-31,
CTR00084,50582-567-88,ABC,Prime Vendor,7.51,2024-01-01,2025-12-31,
CTR00090,90846-140-15,MCK,Direct,8.73,2024-01-01,2025-12-31,
CTR00091,90846-140-15,CAH,GPO,7.92,2024-01-01,2025-12-31,Vizient
CTR00092,40271-288-94,ABC,340B,1.65,2024-01-01,2025-12-31,
CTR00093,62982-550-93,ABC,GPO,4.27,2024-01-01,2025-12-31,HealthTrust
CTR00094,34066-578-95,MCK,GPO,5.17,2024-01-01,2025-12-31,Premier
CTR00095,60832-765-93,ABC,GPO,9.58,2024-01-01,2025-12-31,Vizient
CTR00096,60832-765-93,CAH,GPO,9.46,2024-01-01,2025-12-31,Premier
CTR00097,21059-230-80,MCK,GPO,1.66,2024-01-01,2025-12-31,Vizient
CTR00128,66224-882-23,CAH,GPO,36.45,2024-01-01,2025-12-31,Premier
CTR00129,66224-882-23,ABC,GPO,35.55,2024-01-01,2025-12-31,HealthTrust
CTR00134,58181-179-41,MCK,Prime Vendor,13.51,2024-01-01,2025-12-31,
CTR00135,58181-179-41,CAH,GPO,13.22,2024-01-01,2025-12-31,Premier
CTR00138,73903-957-64,ABC,GPO,31.2,2024-01-01,2025-12-31,HealthTrust
CTR00139,73903-957-64,MCK,GPO,32.37,2024-01-01,2025-12-31,Vizient
CTR00140,62924-796-96,ABC,Direct,12.48,2024-01-01,2025-12-31,
CTR00142,94380-365-11,MCK,Prime Vendor,7.16,2024-01-01,2025-12-31,
CTR00144,91775-889-68,CAH,Direct,11.66,2024-01-01,2025-12-31,
CTR00146,83032-760-78,MCK,340B,1.17,2024-01-01,2025-12-31,
CTR00147,83032-760-78,CAH,GPO,2.37,2024-01-01,2025-12-31,Premier
CTR00149,91352-596-81,CAH,Prime Vendor,6.7,2024-01-01,2025-12-31,
CTR00150,91352-596-81,MCK,GPO,5.69,2024-01-01,2025-12-31,Premier
CTR00154,26214-438-52,MCK,Prime Vendor,4.42,2024-01-01,2025-12-31,
CTR00155,26214-438-52,ABC,340B,1.99,2024-01-01,2025-12-31,
CTR00161,37035-873-18,ABC,GPO,1.4,2024-01-01,2025-12-31,HealthTrust
CTR00167,70781-158-58,CAH,GPO,68.04,2024-01-01,2025-12-31,HealthTrust
CTR00168,70781-158-58,MCK,Prime Vendor,68.04,2024-01-01,2025-12-31,
CTR00174,90668-999-26,ABC,GPO,2.38,2024-01-01,2025-12-31,Vizient
CTR00178,40485-660-43,MCK,340B,143.55,2024-01-01,2025-12-31,
CTR00179,81273-586-56,ABC,GPO,405.9,2024-01-01,2025-12-31,HealthTrust
CTR00180,81273-586-56,MCK,Direct,465.3,2024-01-01,2025-12-31,
CTR00183,74395-984-69,CAH,GPO,49.3,2024-01-01,2025-12-31,Premier
CTR00184,74395-984-69,ABC,GPO,49.9,2024-01-01,2025-12-31,Premier
CTR00187,10080-227-35,ABC,GPO,192.44,2024-01-01,2025-12-31,HealthTrust
CTR00189,92126-761-19,CAH,340B,258.72,2024-01-01,2025-12-31,
CTR00195,66326-727-83,ABC,GPO,3962.7,2024-01-01,2025-12-31,Premier
CTR00198,76766-852-95,ABC,Direct,5859,2024-01-01,2025-12-31,
CTR00199,92876-924-46,MCK,Direct,1.1,2024-01-01,2025-12-31,
CTR00211,97439-527-58,MCK,GPO,422.82,2024-01-01,2025-12-31,HealthTrust
CTR00212,97439-527-58,CAH,340B,156.6,2024-01-01,2025-12-31,
CTR00223,96886-346-29,MCK,GPO,105.49,2024-01-01,2025-12-31,Premier
CTR00224,96886-346-29,CAH,Prime Vendor,108.96,2024-01-01,2025-12-31,
CTR00229,29879-693-24,MCK,340B,2.97,2024-01-01,2025-12-31,
CTR00235,13900-655-46,MCK,Direct,1.94,2024-01-01,2025-12-31,
CTR00236,13900-655-46,ABC,GPO,1.76,2024-01-01,2025-12-31,HealthTrust
