date,store_id,ndc,on_hand_qty,in_transit_qty,days_of_supply,reorder_point_days,target_days_of_supply
2024-01-01,ST001,62110-787-10,62,0,13.4,7,14
2024-01-08,ST001,62110-787-10,27,34,5.8,7,14
2024-01-15,ST001,62110-787-10,37,0,8,7,14
2024-01-22,ST001,62110-787-10,40,0,8.6,7,14
2024-01-29,ST001,62110-787-10,38,0,8.2,7,14
2024-02-05,ST001,62110-787-10,47,0,10.1,7,14
2024-02-12,ST001,62110-787-10,55,0,11.9,7,14
2024-02-19,ST001,62110-787-10,29,33,6.3,7,14
2024-02-26,ST001,62110-787-10,40,0,8.6,7,14
2024-03-04,ST001,62110-787-10,55,0,11.9,7,14
2024-03-11,ST001,62110-787-10,29,34,6.3,7,14
2024-03-18,ST001,62110-787-10,36,0,7.8,7,14
2024-03-25,ST001,62110-787-10,47,0,10.1,7,14
2024-04-01,ST001,62110-787-10,54,0,11.7,7,14
2024-04-08,ST001,62110-787-10,22,34,4.7,7,14
2024-04-15,ST001,62110-787-10,27,38,5.8,7,14
2024-04-22,ST001,62110-787-10,45,0,9.7,7,14
2024-04-29,ST001,62110-787-10,52,0,11.2,7,14
2024-05-06,ST001,62110-787-10,36,0,7.8,7,14
2024-05-13,ST001,62110-787-10,39,0,8.4,7,14
2024-05-20,ST001,62110-787-10,48,0,10.4,7,14
2024-05-27,ST001,62110-787-10,29,35,6.3,7,14
2024-06-03,ST001,62110-787-10,38,0,8.2,7,14
2024-06-10,ST001,62110-787-10,41,0,8.8,7,14
2024-06-17,ST001,62110-787-10,49,0,10.6,7,14
2024-06-24,ST001,62110-787-10,23,36,5,7,14
2024-07-01,ST001,62110-787-10,35,0,7.6,7,14
2024-07-08,ST001,62110-787-10,46,0,9.9,7,14
2024-07-15,ST001,62110-787-10,22,34,4.7,7,14
2024-07-22,ST001,62110-787-10,37,0,8,7,14
2024-07-29,ST001,62110-787-10,43,0,9.3,7,14
2024-08-05,ST001,62110-787-10,51,0,11,7,14
2024-08-12,ST001,62110-787-10,24,37,5.2,7,14
2024-08-19,ST001,62110-787-10,28,37,6,7,14
2024-08-26,ST001,62110-787-10,35,0,7.6,7,14
2024-09-02,ST001,62110-787-10,35,0,7.6,7,14
2024-09-09,ST001,62110-787-10,38,0,8.2,7,14
2024-09-16,ST001,62110-787-10,45,0,9.7,7,14
2024-09-23,ST001,62110-787-10,26,36,5.6,7,14
2024-09-30,ST001,62110-787-10,38,0,8.2,7,14
2024-10-07,ST001,62110-787-10,48,0,10.4,7,14
2024-10-14,ST001,62110-787-10,54,0,11.7,7,14
2024-10-21,ST001,62110-787-10,26,33,5.6,7,14
2024-10-28,ST001,62110-787-10,28,34,6,7,14
2024-11-04,ST001,62110-787-10,37,0,8,7,14
2024-11-11,ST001,62110-787-10,42,0,9.1,7,14
2024-11-18,ST001,62110-787-10,41,0,8.8,7,14
2024-11-25,ST001,62110-787-10,48,0,10.4,7,14
2024-12-02,ST001,62110-787-10,59,0,12.7,7,14
2024-12-09,ST001,62110-787-10,29,36,6.3,7,14
2024-12-16,ST001,62110-787-10,27,38,5.8,7,14
2024-12-23,ST001,62110-787-10,42,0,9.1,7,14
2024-12-30,ST001,62110-787-10,58,0,12.5,7,14
2025-01-06,ST001,62110-787-10,58,0,12.5,7,14
2025-01-13,ST001,62110-787-10,39,0,8.4,7,14
2025-01-20,ST001,62110-787-10,45,0,9.7,7,14
2025-01-27,ST001,62110-787-10,50,0,10.8,7,14
2025-02-03,ST001,62110-787-10,22,36,4.7,7,14
2025-02-10,ST001,62110-787-10,38,0,8.2,7,14
2025-02-17,ST001,62110-787-10,34,0,7.3,7,14
2025-02-24,ST001,62110-787-10,40,0,8.6,7,14
2025-03-03,ST001,62110-787-10,51,0,11,7,14
2025-03-10,ST001,62110-787-10,59,0,12.7,7,14
2025-03-17,ST001,62110-787-10,33,0,7.1,7,14
2025-03-24,ST001,62110-787-10,45,0,9.7,7,14
2025-03-31,ST001,62110-787-10,51,0,11,7,14
2025-04-07,ST001,62110-787-10,33,0,7.1,7,14
2025-04-14,ST001,62110-787-10,49,0,10.6,7,14
2025-04-21,ST001,62110-787-10,21,35,4.5,7,14
2025-04-28,ST001,62110-787-10,28,34,6,7,14
2025-05-05,ST001,62110-787-10,39,0,8.4,7,14
2025-05-12,ST001,62110-787-10,48,0,10.4,7,14
2025-05-19,ST001,62110-787-10,26,34,5.6,7,14
2025-05-26,ST001,62110-787-10,37,0,8,7,14
2025-06-02,ST001,62110-787-10,42,0,9.1,7,14
2025-06-09,ST001,62110-787-10,45,0,9.7,7,14
2025-06-16,ST001,62110-787-10,53,0,11.4,7,14
2025-06-23,ST001,62110-787-10,50,0,10.8,7,14
2025-06-30,ST001,62110-787-10,32,33,6.9,7,14
2025-07-07,ST001,62110-787-10,25,33,5.4,7,14
2025-07-14,ST001,62110-787-10,28,37,6,7,14
2025-07-21,ST001,62110-787-10,39,0,8.4,7,14
2025-07-28,ST001,62110-787-10,44,0,9.5,7,14
2025-08-04,ST001,62110-787-10,52,0,11.2,7,14
2025-08-11,ST001,62110-787-10,59,0,12.7,7,14
2025-08-18,ST001,62110-787-10,31,34,6.7,7,14
2025-08-25,ST001,62110-787-10,45,0,9.7,7,14
2025-09-01,ST001,62110-787-10,22,34,4.7,7,14
2025-09-08,ST001,62110-787-10,29,33,6.3,7,14
2025-09-15,ST001,62110-787-10,27,33,5.8,7,14
2025-09-22,ST001,62110-787-10,43,0,9.3,7,14
2025-09-29,ST001,62110-787-10,53,0,11.4,7,14
2025-10-06,ST001,62110-787-10,26,35,5.6,7,14
2025-10-13,ST001,62110-787-10,32,33,6.9,7,14
2025-10-20,ST001,62110-787-10,37,0,8,7,14
2025-10-27,ST001,62110-787-10,51,0,11,7,14
2025-11-03,ST001,62110-787-10,37,0,8,7,14
2025-11-10,ST001,62110-787-10,38,0,8.2,7,14
2025-11-17,ST001,62110-787-10,45,0,9.7,7,14
2025-11-24,ST001,62110-787-10,47,0,10.1,7,14
2025-12-01,ST001,62110-787-10,25,34,5.4,7,14
2025-12-08,ST001,62110-787-10,29,33,6.3,7,14
2025-12-15,ST001,62110-787-10,30,35,6.5,7,14
2025-12-22,ST001,62110-787-10,47,0,10.1,7,14
2025-12-29,ST001,62110-787-10,12,39,2.6,7,14
2024-01-01,ST001,37559-713-63,77,0,12.9,7,14
2024-01-08,ST001,37559-713-63,36,48,6,7,14
2024-01-15,ST001,37559-713-63,50,0,8.4,7,14
2024-01-22,ST001,37559-713-63,54,0,9,7,14
2024-01-29,ST001,37559-713-63,73,0,12.2,7,14
2024-02-05,ST001,37559-713-63,77,0,12.9,7,14
2024-02-12,ST001,37559-713-63,34,43,5.7,7,14
2024-02-19,ST001,37559-713-63,45,0,7.5,7,14
2024-02-26,ST001,37559-713-63,60,0,10,7,14
2024-03-04,ST001,37559-713-63,29,44,4.8,7,14
2024-03-11,ST001,37559-713-63,36,48,6,7,14
2024-03-18,ST001,37559-713-63,45,0,7.5,7,14
2024-03-25,ST001,37559-713-63,52,0,8.7,7,14
2024-04-01,ST001,37559-713-63,55,0,9.2,7,14
2024-04-08,ST001,37559-713-63,59,0,9.9,7,14
2024-04-15,ST001,37559-713-63,73,0,12.2,7,14
2024-04-22,ST001,37559-713-63,41,43,6.9,7,14
2024-04-29,ST001,37559-713-63,55,0,9.2,7,14
2024-05-06,ST001,37559-713-63,61,0,10.2,7,14
2024-05-13,ST001,37559-713-63,67,0,11.2,7,14
2024-05-20,ST001,37559-713-63,36,48,6,7,14
2024-05-27,ST001,37559-713-63,48,0,8,7,14
2024-06-03,ST001,37559-713-63,57,0,9.5,7,14
2024-06-10,ST001,37559-713-63,68,0,11.4,7,14
2024-06-17,ST001,37559-713-63,35,45,5.8,7,14
2024-06-24,ST001,37559-713-63,36,48,6,7,14
2024-07-01,ST001,37559-713-63,42,0,7,7,14
2024-07-08,ST001,37559-713-63,54,0,9,7,14
2024-07-15,ST001,37559-713-63,58,0,9.7,7,14
2024-07-22,ST001,37559-713-63,66,0,11,7,14
2024-07-29,ST001,37559-713-63,41,43,6.9,7,14
2024-08-05,ST001,37559-713-63,39,45,6.5,7,14
2024-08-12,ST001,37559-713-63,48,0,8,7,14
2024-08-19,ST001,37559-713-63,53,0,8.9,7,14
2024-08-26,ST001,37559-713-63,63,0,10.5,7,14
2024-09-02,ST001,37559-713-63,27,44,4.5,7,14
2024-09-09,ST001,37559-713-63,75,0,12.5,7,14
2024-09-16,ST001,37559-713-63,35,43,5.8,7,14
2024-09-23,ST001,37559-713-63,44,0,7.4,7,14
2024-09-30,ST001,37559-713-63,54,0,9,7,14
2024-10-07,ST001,37559-713-63,61,0,10.2,7,14
2024-10-14,ST001,37559-713-63,62,0,10.4,7,14
2024-10-21,ST001,37559-713-63,64,0,10.7,7,14
2024-10-28,ST001,37559-713-63,63,0,10.5,7,14
2024-11-04,ST001,37559-713-63,71,0,11.9,7,14
2024-11-11,ST001,37559-713-63,29,45,4.8,7,14
2024-11-18,ST001,37559-713-63,36,43,6,7,14
2024-11-25,ST001,37559-713-63,43,0,7.2,7,14
2024-12-02,ST001,37559-713-63,38,46,6.3,7,14
2024-12-09,ST001,37559-713-63,40,44,6.7,7,14
2024-12-16,ST001,37559-713-63,50,0,8.4,7,14
2024-12-23,ST001,37559-713-63,66,0,11,7,14
2024-12-30,ST001,37559-713-63,19,45,3.2,7,14
2025-01-06,ST001,37559-713-63,69,0,11.5,7,14
2025-01-13,ST001,37559-713-63,74,0,12.4,7,14
2025-01-20,ST001,37559-713-63,37,43,6.2,7,14
2025-01-27,ST001,37559-713-63,34,43,5.7,7,14
2025-02-03,ST001,37559-713-63,42,0,7,7,14
2025-02-10,ST001,37559-713-63,60,0,10,7,14
2025-02-17,ST001,37559-713-63,60,0,10,7,14
