substitution_id,shortage_id,date,store_id,original_ndc,proposed_alt_ndc,orange_book_te_match,buyer_decision,pharmacist_rated_appropriate
SUB00001,SHRT0001,2025-08-02,ST007,28307-336-11,74461-609-96,false,Accepted,true
SUB00002,SHRT0001,2025-08-08,ST008,28307-336-11,59117-163-70,false,Deferred,true
SUB00003,SHRT0001,2025-08-13,ST005,28307-336-11,38430-118-20,false,Accepted,true
SUB00004,SHRT0001,2025-08-14,ST004,28307-336-11,59117-163-70,false,Accepted,false
SUB00005,SHRT0001,2025-08-10,ST004,28307-336-11,74461-609-96,false,Accepted,true
SUB00006,SHRT0001,2025-08-18,ST003,28307-336-11,38430-118-20,false,Accepted,true
SUB00007,SHRT0001,2025-08-16,ST011,28307-336-11,59117-163-70,false,Rejected,false
SUB00008,SHRT0001,2025-08-03,ST005,28307-336-11,59117-163-70,false,Accepted,true
SUB00009,SHRT0001,2025-08-11,ST007,28307-336-11,38430-118-20,false,Accepted,false
SUB00010,SHRT0001,2025-08-15,ST005,28307-336-11,59117-163-70,false,Accepted,false
SUB00011,SHRT0001,2025-08-11,ST006,28307-336-11,25440-367-99,false,Rejected,false
SUB00012,SHRT0001,2025-08-15,ST011,28307-336-11,59117-163-70,false,Accepted,false
SUB00013,SHRT0001,2025-08-11,ST004,28307-336-11,38430-118-20,false,Deferred,false
SUB00014,SHRT0002,2025-10-18,ST007,59899-705-80,31464-369-35,false,Rejected,false
SUB00015,SHRT0002,2025-10-16,ST010,59899-705-80,31464-369-35,false,Rejected,false
SUB00016,SHRT0002,2025-10-24,ST010,59899-705-80,78170-706-79,false,Deferred,false
SUB00017,SHRT0002,2025-10-20,ST005,59899-705-80,31464-369-35,false,Deferred,true
SUB00018,SHRT0002,2025-11-02,ST002,59899-705-80,31464-369-35,false,Accepted,false
SUB00019,SHRT0002,2025-11-01,ST012,59899-705-80,78170-706-79,false,Accepted,true
SUB00020,SHRT0002,2025-10-19,ST011,59899-705-80,78170-706-79,false,Deferred,true
SUB00021,SHRT0002,2025-10-28,ST002,59899-705-80,78170-706-79,false,Accepted,true
SUB00022,SHRT0002,2025-10-15,ST011,59899-705-80,31464-369-35,false,Deferred,true
SUB00023,SHRT0002,2025-10-13,ST003,59899-705-80,31464-369-35,false,Accepted,true
SUB00024,SHRT0002,2025-10-29,ST007,59899-705-80,31464-369-35,false,Accepted,true
SUB00025,SHRT0002,2025-10-31,ST006,59899-705-80,31464-369-35,false,Rejected,true
SUB00026,SHRT0002,2025-10-24,ST007,59899-705-80,31464-369-35,false,Accepted,true
SUB00027,SHRT0002,2025-10-16,ST008,59899-705-80,31464-369-35,false,Accepted,false
SUB00028,SHRT0002,2025-10-29,ST003,59899-705-80,31464-369-35,false,Deferred,false
SUB00029,SHRT0002,2025-10-31,ST003,59899-705-80,78170-706-79,false,Accepted,false
SUB00030,SHRT0002,2025-10-21,ST008,59899-705-80,31464-369-35,false,Accepted,true
SUB00031,SHRT0003,2025-06-10,ST004,58181-179-41,66224-882-23,true,Accepted,true
SUB00032,SHRT0003,2025-05-24,ST003,58181-179-41,46476-687-34,true,Accepted,true
SUB00033,SHRT0003,2025-06-03,ST006,58181-179-41,66224-882-23,true,Accepted,false
SUB00034,SHRT0003,2025-06-10,ST005,58181-179-41,46149-460-57,true,Accepted,true
SUB00035,SHRT0003,2025-06-03,ST012,58181-179-41,46149-460-57,true,Rejected,true
SUB00036,SHRT0003,2025-06-03,ST009,58181-179-41,44449-670-65,true,Accepted,true
SUB00037,SHRT0003,2025-05-29,ST010,58181-179-41,46149-460-57,true,Accepted,true
SUB00038,SHRT0003,2025-05-31,ST003,58181-179-41,66224-882-23,true,Accepted,true
SUB00039,SHRT0003,2025-05-28,ST004,58181-179-41,38048-898-66,true,Accepted,true
SUB00040,SHRT0003,2025-06-12,ST001,58181-179-41,66224-882-23,true,Accepted,true
SUB00041,SHRT0003,2025-06-09,ST012,58181-179-41,46476-687-34,true,Deferred,true
SUB00042,SHRT0003,2025-06-02,ST005,58181-179-41,46149-460-57,true,Rejected,true
SUB00043,SHRT0003,2025-06-08,ST012,58181-179-41,66224-882-23,true,Accepted,true
SUB00044,SHRT0003,2025-06-11,ST008,58181-179-41,46476-687-34,true,Accepted,true
SUB00045,SHRT0003,2025-06-02,ST007,58181-179-41,44449-670-65,true,Accepted,true
SUB00046,SHRT0003,2025-06-11,ST003,58181-179-41,44449-670-65,true,Accepted,true
SUB00047,SHRT0003,2025-06-01,ST006,58181-179-41,38048-898-66,true,Accepted,true
SUB00048,SHRT0003,2025-06-05,ST010,58181-179-41,46476-687-34,true,Accepted,true
